county,fips,description,pci,hu,munit,sngpnt,crowd,noveh,f_sngpnt,f_crowd,f_noveh
King,53033030202,"Census Tract 302.02, King County, Washington",29268,2653,574,419,69,151,0,0,0
King,53033030304,"Census Tract 303.04, King County, Washington",32431,1296,99,207,7,63,0,0,0
King,53033030305,"Census Tract 303.05, King County, Washington",34733,2180,201,129,29,63,0,0,0
King,53033030306,"Census Tract 303.06, King County, Washington",36224,1967,36,236,60,44,0,0,0
King,53033030308,"Census Tract 303.08, King County, Washington",28522,2433,676,204,177,158,0,0,0
King,53033030309,"Census Tract 303.09, King County, Washington",39883,2627,539,87,113,80,0,0,0
King,53033030310,"Census Tract 303.10, King County, Washington",33362,2104,435,244,53,176,0,0,0
King,53033030311,"Census Tract 303.11, King County, Washington",30088,1710,140,235,96,39,0,0,0
King,53033030312,"Census Tract 303.12, King County, Washington",28972,1864,368,193,65,130,0,0,0
King,53033030313,"Census Tract 303.13, King County, Washington",20783,1794,554,328,121,100,1,0,0
King,53033030314,"Census Tract 303.14, King County, Washington",25811,2077,770,227,162,476,0,0,1
King,53033030401,"Census Tract 304.01, King County, Washington",32077,3383,388,328,174,50,0,0,0
King,53033030403,"Census Tract 304.03, King County, Washington",37734,1828,125,18,0,76,0,0,0
King,53033030404,"Census Tract 304.04, King County, Washington",34305,1639,0,69,47,13,0,0,0
King,53033030501,"Census Tract 305.01, King County, Washington",27833,1111,646,52,86,313,0,0,1
King,53033030503,"Census Tract 305.03, King County, Washington",23130,2426,597,247,213,251,0,1,0
