county,rate,lower95cl,upper95cl,visits,year,gender
Weld,10.25073116,5.427980378,16.58111672,13,2011,Female
Weld,13.20378708,7.642149431,20.26118973,17,2012,Female
Weld,,,,,2013,Female
Weld,,,,,2014,Female
Weld,7.355696429,3.665027739,12.31031607,11,2015,Female
Weld,,,,,2016,Female
Weld,,,,,2017,Female
Weld,12.37523462,7.426128908,18.56756717,19,2018,Female
Weld,,,,,2019,Female
Weld,,,,,2020,Female
Weld,,,,,2021,Female
Weld,,,,,2022,Female
Weld,10.09438122,5.365406358,16.2929146,13,2011,Male
Weld,12.75893607,6.961803285,20.28297724,15,2012,Male
Weld,10.44173177,5.627905126,16.71856462,14,2013,Male
Weld,,,,,2014,Male
Weld,13.03653678,7.625156857,19.87531526,18,2015,Male
Weld,9.274905408,5.046941867,14.76801704,14,2016,Male
Weld,15.46355374,9.237665332,21.68944215,24,2017,Male
Weld,11.14693086,6.588733935,16.88397733,18,2018,Male
Weld,10.26717139,5.819545365,15.95659961,16,2019,Male
Weld,10.22528283,5.821141593,15.84965284,16,2020,Male
Weld,11.70008665,6.534484367,16.86568893,20,2021,Male
Weld,14.51211957,8.76116409,20.26307504,25,2022,Male
