"","CensusTract","CaliforniaCounty","ZIP","Longitude","Latitude","ApproxLocation","CES4.0Score","CES4.0Percentile","CES4.0PercRange","Ozone","OzonePctl","PM2.5","PM2.5.Pctl","DieselPM","DieselPMPctl","DrinkingWater","DrinkingWaterPctl","Lead","LeadPctl","Pesticides","PesticidesPctl","ToxRelease","ToxReleasePctl","Traffic","TrafficPctl","CleanupSites","CleanupSitesPctl","GroundwaterThreats","GroundwaterThreatsPctl","HazWaste","HazWastePctl","ImpWaterBodies","ImpWaterBodiesPctl","SolidWaste","SolidWastePctl","PollutionBurden","PollutionBurdenScore","PollutionBurdenPctl","Asthma","AsthmaPctl","LowBirthWeight","LowBirthWeightPctl","CardiovascularDisease","CardiovascularDiseasePctl","TotalPop","ChildrenPercLess10","PopPerc10to64","ElderlyMore64","HispanicPerc","WhitePerc","AfAmericanPerc","NativeAmericanPerc","AsianAmericanPerc","OtherMultiplePerc","PopChar","PopCharScore","PopCharPctl","Education","EducationPctl","LinguisticIsol","LinguisticIsolPctl","Poverty","PovertyPctl","Unemployment","UnemploymentPctl","HousingBurden","HousingBurdenPctl"
"1365",6037124300,"Los Angeles",91601,-118.3642963,34.1757378,"Los Angeles",45.95,83.17,"80-85%",0.059,79.99,11.51474422,61.12,0.141,48.87,726.64,83.13,76.23,85.9,0,0,1081.57665,65.5,631.6800083,30.76,37,92.29,16,61.55,0.125,21.96,0,0,4.2,70.9,54.39,6.64,81.11,47.83,53.38,6.47,83.17,11.77,44.25,2988,8.17,76.61,15.23,58,32.93,1.81,0,5.19,2.07,66.71,6.92,75.47,25.1,73.42,18.3,84.04,49,80.64,5.4,49.86,24.2,77.82
"1366",6037124400,"Los Angeles",91607,-118.4114177,34.1739658,"Los Angeles",24.08,46.92,"45-50%",0.059,79.99,11.51704216,61.16,0.148,50.65,726.64,83.13,62.5,69.2,0,0,1047.458974,64.62,1055.149395,61.44,0,0,0.3,2.11,0.21,37.68,4,43.78,0,0,44.75,5.46,56.08,31.42,27.57,4.6,41.15,12.2,47.52,4858,13.22,73.08,13.71,19.02,69.51,2.9,0,4.51,4.06,42.49,4.41,38.82,6.7,28.83,8.4,55.15,25.8,45.97,6.4,61.53,15.2,39.7
"1367",6037124500,"Los Angeles",91401,-118.4267703,34.1722741,"Los Angeles",28.38,55.7,"55-60%",0.059,79.99,11.64810526,64.37,0.113,41.21,726.64,83.13,59.71,65.37,0,0,1039.983653,64.39,844.5551409,47.39,9,58.17,0,0,0.06,8.76,6,58.69,0,0,45.53,5.56,58.03,63.43,72.87,3.63,18.8,19.24,85.07,2925,16.21,73.03,10.77,17.88,60.24,3.04,0,5.85,12.99,49.22,5.11,49.07,8.2,35.22,4.9,36.97,29.5,53.04,1.2,1.9,22,70.53
"1368",6037124600,"Los Angeles",91423,-118.4269321,34.1620692,"Los Angeles",33.37,64.73,"60-65%",0.059,79.99,11.61984123,63.71,0.262,72.07,726.64,83.13,51.1,53.03,0,0,1070.678324,65.24,2582.884306,93.34,0,0,6.25,35.35,0.11,19.25,6,58.69,0,0,50.09,6.12,70.59,36.87,36.32,5.56,65.83,16.87,75.52,2691,2.97,79.52,17.5,12.63,67.82,5.13,0.45,3.38,10.59,52.6,5.46,54.17,3.9,15.78,5.1,38.14,26.3,47.11,7.9,74.74,18,54.07
"1369",6037124700,"Los Angeles",91423,-118.414869,34.1621485,"Los Angeles",24.68,48.13,"45-50%",0.058,78.01,11.59357465,63.14,0.219,65.29,726.64,83.13,45.87,45.7,0,0,1079.192668,65.44,3238.326909,96.88,0,0,1.75,11.04,0.225,39.77,6,58.69,0,0,48.77,5.95,67.23,22.95,13.12,6.04,75.96,10.52,34.35,5539,6.73,76.78,16.48,17.15,72.05,1.12,0,5.46,4.22,39.96,4.14,35.31,6.2,26.94,2.7,21.42,19.9,33.98,5.8,55.02,18.5,56.48
"1370",6037124902,"Los Angeles",91607,-118.4008746,34.1702439,"Los Angeles",33.15,64.31,"60-65%",0.059,79.99,11.51704216,61.16,0.149,50.89,726.64,83.13,49.37,50.78,0,0,1065.43866,65.05,1097.819375,63.86,0,0,0,0,0.095,11.48,4,43.78,0,0,41.59,5.08,47.41,41.76,44.3,4.52,39.2,18.42,82.38,2706,9.39,69.14,21.47,19.36,56.91,12.71,0,5.69,5.32,62.93,6.53,70.1,4.4,18.36,18.2,83.84,44,74.7,10.1,86.75,29.2,89.21
"1371",6037124903,"Los Angeles",91607,-118.4008675,34.1666099,"Los Angeles",32.48,63.28,"60-65%",0.058,78.01,11.54776039,62.04,0.085,31.45,726.64,83.13,47.93,48.76,0,0,1067.963989,65.15,1006.195322,58.28,0,0,0,0,0.145,24.71,6,58.69,0,0,41.13,5.02,46.1,41.76,44.3,4.74,45.06,18.42,82.38,3499,6.14,76.82,17.03,26.21,56.84,6.54,0.34,7.29,2.77,62.35,6.47,69.26,9.4,39.53,9.5,59.79,30.1,54.15,11.7,91.55,31.2,92.28
"1372",6037125100,"Los Angeles",91607,-118.3921251,34.1648811,"Los Angeles",29.73,58.17,"55-60%",0.058,76.94,11.53704074,61.72,0.227,66.62,726.64,83.13,52.5,55.1,0,0,1081.295319,65.48,1370.046443,74.44,0,0,1,6.97,0.23,40.13,6,58.69,0,0,47.34,5.78,63.2,32.79,29.97,6.13,77.8,12.77,52.55,5892,11.97,73,15.04,20.18,61.73,8.71,0.34,7.23,1.82,49.59,5.14,49.65,7.8,33.49,5.9,42.81,22,38.33,4.3,35.02,24.6,79.06
"1373",6037125200,"Los Angeles",91601,-118.3839912,34.1656901,"Los Angeles",35.96,69.09,"65-70%",0.058,76.94,11.5294955,61.48,0.319,78.36,726.64,83.13,60.83,66.99,0,0,1088.186015,65.68,1980.95939,86.74,9.6,59.72,12,52.03,0.395,60.23,6,58.69,0,0,58.65,7.16,89,42.48,45.36,3.73,20.67,10.74,36,3907,15.87,75.17,8.96,31.2,52.14,2.23,0,6.12,8.32,48.4,5.02,47.98,10.3,43.07,8.2,54.23,29.8,53.62,10,86.19,23.9,76.87
"1374",6037125310,"Los Angeles",91601,-118.366031,34.1695168,"Los Angeles",45.96,83.21,"80-85%",0.058,78.01,11.54950171,62.08,0.169,55.91,726.64,83.13,45.87,45.68,0,0,1086.645325,65.63,799.3948159,44.23,39.5,93.26,30,79.69,0.44,64.77,0,0,8,86.51,57.84,7.06,87.45,53.69,61.04,5.23,58.2,12.98,53.71,4313,7.7,82.84,9.46,40.76,39.65,15.44,0,2.16,1.99,62.75,6.51,69.78,15.6,56.73,13.7,73.37,38.1,66.31,5.4,49.86,31.8,92.94
